Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19155.50,19169.75,4/30/2025 9:45:30 AM,4/30/2025 9:45:42 AM,,Close,$285.00,$285.00,$0.00,$25.00,$310.00,$25.00,0,
2,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19193.00,19153.75,4/30/2025 9:51:02 AM,4/30/2025 9:56:25 AM,MNQ_VIXSell_638816034615327816,MNQ_Target_7c1b1091-48bb-45c5-af2b-bc86fccb26c4,$78.50,$363.50,$0.00,$5.00,$78.50,$0.00,33,
3,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19119.50,19158.00,4/30/2025 9:58:02 AM,4/30/2025 10:00:48 AM,MNQ_VIXBuy_638816038820373294,MNQ_Target_b39d5df5-0e62-450e-824c-b16f50ec3fa4,$77.00,$440.50,$0.00,$34.50,$77.00,$0.00,17,
4,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19191.00,19245.00,4/30/2025 10:02:02 AM,4/30/2025 10:14:05 AM,MNQ_VIXBuy_638816041222928881,MNQ_Target_c5906959-f522-4a07-a548-af48359821e8,$108.00,$548.50,$0.00,$81.00,$110.00,$2.00,73,
5,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19282.50,19331.75,4/30/2025 10:26:05 AM,4/30/2025 10:31:05 AM,MNQ_VIXSell_638816055645240671,MNQ_Stop_453d51a7-b611-4456-953a-8e26914b108b,($98.50),$450.00,$0.00,$98.50,$9.50,$108.00,31,
6,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19306.75,19331.75,4/30/2025 10:29:14 AM,4/30/2025 10:31:05 AM,MNQ_ScaleIn_638816055649786390,MNQ_Stop_453d51a7-b611-4456-953a-8e26914b108b,($50.00),$400.00,$0.00,$50.00,$27.50,$77.50,12,
7,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19305.00,19278.75,4/30/2025 10:39:06 AM,4/30/2025 10:42:12 AM,MNQ_VIXBuy_638816063456976018,StopCancelClose,($52.50),$347.50,$0.00,$57.00,$27.00,$79.50,20,
8,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19276.50,19278.75,4/30/2025 10:42:11 AM,4/30/2025 10:42:12 AM,MNQ_ScaleIn_638816063460854832,StopCancelClose,$4.50,$352.00,$0.00,$0.00,$5.00,$0.50,1,
9,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19290.50,19335.75,4/30/2025 10:42:36 AM,4/30/2025 10:44:00 AM,,,$90.50,$442.50,$0.00,$5.50,$92.00,$1.50,0,
10,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19288.75,19336.25,4/30/2025 10:42:36 AM,4/30/2025 10:44:00 AM,,,$95.00,$537.50,$0.00,$2.00,$95.50,$0.50,0,
11,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19387.25,19410.25,4/30/2025 11:27:05 AM,4/30/2025 11:28:15 AM,MNQ_VIXBuy_638816092249780657,MNQ_Target_ae21ca16-cb04-4164-ab78-035d07d702c6,$46.00,$583.50,$0.00,$16.00,$46.00,$0.00,8,
12,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19457.50,19434.50,4/30/2025 12:08:03 PM,4/30/2025 12:10:05 PM,MNQ_VIXSell_638816116827809691,MNQ_Target_9738ff8c-5c40-439e-84e1-cc882e5bafba,$46.00,$629.50,$0.00,$4.00,$47.50,$1.50,13,
13,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19424.25,19445.25,4/30/2025 12:44:05 PM,4/30/2025 1:00:23 PM,MNQ_VIXSell_638816138451226535,StopCancelClose,($42.00),$587.50,$0.00,$44.50,$46.50,$88.50,99,
14,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19444.50,19445.50,4/30/2025 1:00:22 PM,4/30/2025 1:00:23 PM,MNQ_ScaleIn_638816138455104709,StopCancelClose,($2.00),$585.50,$0.00,$4.00,$0.50,$2.50,1,
15,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19448.25,19401.50,4/30/2025 1:00:42 PM,4/30/2025 1:06:43 PM,,,$93.50,$679.00,$0.00,$8.50,$93.50,$0.00,0,
16,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19446.50,19401.50,4/30/2025 1:00:43 PM,4/30/2025 1:06:43 PM,,,$90.00,$769.00,$0.00,$12.00,$90.00,$0.00,0,
17,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19502.25,19478.00,4/30/2025 1:36:04 PM,4/30/2025 1:40:04 PM,MNQ_VIXSell_638816169638685024,MNQ_Target_7dd0394b-d2bc-4402-bef9-1d86897fbb28,$48.50,$817.50,$0.00,$21.00,$48.50,$0.00,25,
18,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19478.50,19492.00,4/30/2025 1:40:04 PM,4/30/2025 2:07:01 PM,MNQ_VIXSell_638816172041608643,MNQ_Stop_9fa13961-eea8-44df-975d-8cd4b0e61e6d,($27.00),$790.50,$0.00,$56.00,$45.00,$72.00,163,
19,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19498.75,19492.00,4/30/2025 1:44:30 PM,4/30/2025 2:07:01 PM,MNQ_ScaleIn_638816172045814711,MNQ_Stop_9fa13961-eea8-44df-975d-8cd4b0e61e6d,$13.50,$804.00,$0.00,$15.50,$85.50,$72.00,137,
20,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19529.75,19483.25,4/30/2025 2:25:03 PM,4/30/2025 2:29:33 PM,MNQ_VIXBuy_638816199025198975,MNQ_Stop_861cbb8f-2263-4f39-af74-3f17f30e7232,($93.00),$711.00,$0.00,$93.00,$22.50,$115.50,28,
21,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19509.00,19483.25,4/30/2025 2:28:56 PM,4/30/2025 2:29:33 PM,MNQ_ScaleIn_638816199029082565,MNQ_Stop_861cbb8f-2263-4f39-af74-3f17f30e7232,($51.50),$659.50,$0.00,$51.50,$11.50,$63.00,5,
22,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19496.50,19528.75,4/30/2025 2:31:33 PM,4/30/2025 2:51:03 PM,MNQ_VIXBuy_638816202930979584,MNQ_Target_93cd4625-21db-49fd-b398-0565cb9ad5fc,$64.50,$724.00,$0.00,$100.50,$64.50,$0.00,118,
23,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19468.75,19528.75,4/30/2025 2:36:30 PM,4/30/2025 2:51:03 PM,MNQ_ScaleIn_638816202935046918,MNQ_Target_93cd4625-21db-49fd-b398-0565cb9ad5fc,$120.00,$844.00,$0.00,$45.00,$120.00,$0.00,88,
24,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19518.00,19500.00,4/30/2025 3:16:06 PM,4/30/2025 3:18:04 PM,MNQ_VIXSell_638816229661777965,MNQ_Target_86437bc7-2a05-4a28-b95a-c155ad4ea319,$36.00,$880.00,$0.00,$5.50,$36.00,$0.00,13,
25,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19500.00,19481.00,4/30/2025 3:18:11 PM,4/30/2025 3:25:40 PM,MNQ_VIXSell_638816230912090256,MNQ_Target_efb7de56-ec43-4da6-b4a6-3e28ad03f2d1,$38.00,$918.00,$0.00,$46.00,$38.00,$0.00,46,
26,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19516.50,19481.00,4/30/2025 3:21:41 PM,4/30/2025 3:25:40 PM,MNQ_ScaleIn_638816230916053988,MNQ_Target_efb7de56-ec43-4da6-b4a6-3e28ad03f2d1,$71.00,$989.00,$0.00,$13.00,$71.00,$0.00,25,
27,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19913.50,19915.50,4/30/2025 6:21:53 PM,4/30/2025 6:23:18 PM,MNQ_VIXSell_638816341130780000,StopCancelClose,($4.00),$985.00,$0.00,$9.00,$8.50,$12.50,9,
28,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19915.75,19915.75,4/30/2025 6:23:17 PM,4/30/2025 6:23:18 PM,MNQ_ScaleIn_638816341135086000,StopCancelClose,$0.00,$985.00,$0.00,$0.00,$0.00,$0.00,1,
29,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19908.50,19907.75,4/30/2025 6:24:16 PM,4/30/2025 6:24:33 PM,MNQ_VIXSell_638816342560639482,StopCancelClose,$1.50,$986.50,$0.00,$9.50,$4.00,$2.50,3,
30,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19908.00,19907.75,4/30/2025 6:24:32 PM,4/30/2025 6:24:33 PM,MNQ_ScaleIn_638816342564612921,StopCancelClose,$0.50,$987.00,$0.00,$1.00,$0.50,$0.00,1,
31,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19893.00,19889.50,4/30/2025 6:27:23 PM,4/30/2025 6:28:00 PM,MNQ_VIXSell_638816344428712489,Close,$7.00,$994.00,$0.00,$8.00,$8.50,$1.50,0,
32,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19893.75,19889.50,4/30/2025 6:27:53 PM,4/30/2025 6:28:00 PM,MNQ_ScaleIn_638816344432560255,Close,$8.50,$1002.50,$0.00,$1.50,$10.00,$1.50,0,
33,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19889.00,19892.50,4/30/2025 6:28:19 PM,4/30/2025 6:28:37 PM,MNQ_VIXSell_638816344986852078,Close,($7.00),$995.50,$0.00,$8.00,$0.00,$7.00,0,
34,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19891.50,19892.75,4/30/2025 6:28:31 PM,4/30/2025 6:28:37 PM,MNQ_ScaleIn_638816344990708879,Close,($2.50),$993.00,$0.00,$3.00,$1.00,$3.50,0,
35,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19890.00,19891.00,4/30/2025 6:28:50 PM,4/30/2025 6:29:06 PM,MNQ_VIXSell_638816345294373702,StopCancelClose,($2.00),$991.00,$0.00,$5.00,$1.00,$3.00,2,
36,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Short,1,19890.25,19890.75,4/30/2025 6:29:05 PM,4/30/2025 6:29:06 PM,MNQ_ScaleIn_638816345298485752,StopCancelClose,($1.00),$990.00,$0.00,$1.00,$1.00,$2.00,1,
37,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19940.00,19979.50,5/1/2025 9:45:02 AM,5/1/2025 9:48:10 AM,MNQ_VIXBuy_638816895014213486,MNQ_Target_a8a53f1a-a845-48a4-a4a7-ab384c0f3533,$79.00,$1069.00,$0.00,$28.00,$79.50,$0.50,20,
38,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19918.75,19858.75,5/1/2025 9:58:03 AM,5/1/2025 9:59:59 AM,MNQ_VIXBuy_638816902825072719,MNQ_Stop_08fb2ebb-cd13-4a7d-8e68-87ab3cf26d59,($120.00),$949.00,$0.00,$120.00,$1.50,$121.50,12,
39,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19889.00,19858.75,5/1/2025 9:59:31 AM,5/1/2025 9:59:59 AM,MNQ_ScaleIn_638816902829040633,MNQ_Stop_08fb2ebb-cd13-4a7d-8e68-87ab3cf26d59,($60.50),$888.50,$0.00,$60.50,$17.00,$77.50,3,
40,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19913.25,19898.00,5/1/2025 10:00:36 AM,5/1/2025 10:02:04 AM,,StopCancelClose,($30.50),$858.00,$0.00,$97.00,$29.50,$60.00,0,
41,MNQ JUN25,EXPRESSApr3013436618!TopstepTrader!TopstepTrader,,Long,1,19900.00,19916.50,5/1/2025 10:02:03 AM,5/1/2025 10:04:13 AM,MNQ_VIXBuy_638816905227568437,Close,$33.00,$891.00,$0.00,$20.50,$55.00,$22.00,0,
